epoch,accuracy,loss,val_accuracy,val_loss
0,0.5080000162124634,0.6998357772827148,0.5230000019073486,0.6928437948226929
1,0.5149999856948853,0.6928972601890564,0.5289999842643738,0.6882382035255432
2,0.5630000233650208,0.6914722323417664,0.6309999823570251,0.6659879088401794
3,0.5979999899864197,0.6745589375495911,0.5709999799728394,0.6735370755195618
4,0.6169999837875366,0.6512772440910339,0.597000002861023,0.6758662462234497
5,0.6269999742507935,0.6537986993789673,0.6909999847412109,0.6008450984954834
6,0.6464999914169312,0.640045702457428,0.6700000166893005,0.6071755290031433
7,0.6639999747276306,0.6153050661087036,0.640999972820282,0.6160141229629517
8,0.6815000176429749,0.5930886268615723,0.7009999752044678,0.5520321130752563
9,0.6899999976158142,0.5820593237876892,0.6959999799728394,0.5807197093963623
10,0.6909999847412109,0.5804962515830994,0.7269999980926514,0.5567352175712585
11,0.6945000290870667,0.5671712756156921,0.6880000233650208,0.5772544145584106
12,0.722000002861023,0.5514915585517883,0.7179999947547913,0.5441496968269348
13,0.7319999933242798,0.5363482236862183,0.7319999933242798,0.5491684079170227
14,0.7329999804496765,0.530332624912262,0.7350000143051147,0.5494239926338196
15,0.7335000038146973,0.5198049545288086,0.7749999761581421,0.4904928505420685
16,0.7450000047683716,0.5200585722923279,0.7540000081062317,0.49788951873779297
17,0.7465000152587891,0.5067715644836426,0.753000020980835,0.5337221622467041
18,0.7664999961853027,0.4879072904586792,0.6520000100135803,0.643140971660614
19,0.7680000066757202,0.4869249165058136,0.7400000095367432,0.5255234837532043
20,0.7674999833106995,0.4763917624950409,0.7710000276565552,0.4886200428009033
21,0.7925000190734863,0.45689940452575684,0.7749999761581421,0.522596001625061
22,0.7710000276565552,0.47874799370765686,0.7680000066757202,0.5042991638183594
23,0.7795000076293945,0.4527917504310608,0.7580000162124634,0.5015609264373779
24,0.7864999771118164,0.44930917024612427,0.7440000176429749,0.5468200445175171
25,0.7889999747276306,0.4480808973312378,0.7730000019073486,0.49519702792167664
26,0.796500027179718,0.44072985649108887,0.7720000147819519,0.4839191734790802
27,0.8109999895095825,0.4357485771179199,0.7839999794960022,0.4888678789138794
28,0.8134999871253967,0.40845561027526855,0.7680000066757202,0.5093035101890564
29,0.8245000243186951,0.40186163783073425,0.7490000128746033,0.5748271346092224
30,0.815500020980835,0.4107193946838379,0.7910000085830688,0.46052223443984985
31,0.8230000138282776,0.397951602935791,0.796999990940094,0.4720754623413086
32,0.8130000233650208,0.38890233635902405,0.7940000295639038,0.49885833263397217
33,0.828000009059906,0.3769935667514801,0.7929999828338623,0.45398852229118347
34,0.8355000019073486,0.3713393211364746,0.7229999899864197,0.7672352194786072
35,0.8420000076293945,0.366428405046463,0.753000020980835,0.6526657342910767
36,0.8450000286102295,0.3614621162414551,0.7940000295639038,0.4523078501224518
37,0.8495000004768372,0.3475179076194763,0.7829999923706055,0.49375250935554504
38,0.8410000205039978,0.36332347989082336,0.828000009059906,0.40069928765296936
39,0.8519999980926514,0.36391571164131165,0.8230000138282776,0.4194734990596771
40,0.8479999899864197,0.3515709638595581,0.8199999928474426,0.4126197099685669
41,0.859000027179718,0.3239775598049164,0.8289999961853027,0.41246944665908813
42,0.8579999804496765,0.3269597887992859,0.8339999914169312,0.40860527753829956
43,0.8694999814033508,0.2996373772621155,0.8410000205039978,0.4327988624572754
44,0.8705000281333923,0.31364357471466064,0.8289999961853027,0.45328330993652344
45,0.8794999718666077,0.29849857091903687,0.7979999780654907,0.589909017086029
46,0.8809999823570251,0.2924094498157501,0.8140000104904175,0.4599701166152954
47,0.8744999766349792,0.29037466645240784,0.8289999961853027,0.535646378993988
48,0.8784999847412109,0.2899194061756134,0.8339999914169312,0.5124534964561462
49,0.8859999775886536,0.27855080366134644,0.800000011920929,0.724419116973877
50,0.8880000114440918,0.28079330921173096,0.8019999861717224,0.568839967250824
51,0.8899999856948853,0.25356703996658325,0.8240000009536743,0.5757309794425964
52,0.8805000185966492,0.2784561216831207,0.8109999895095825,0.453322172164917
53,0.8970000147819519,0.24100272357463837,0.8309999704360962,0.42134881019592285
54,0.9004999995231628,0.24505606293678284,0.8489999771118164,0.4396253824234009
55,0.8955000042915344,0.25532007217407227,0.843999981880188,0.44533684849739075
56,0.8884999752044678,0.26757022738456726,0.8539999723434448,0.4150184988975525
57,0.9085000157356262,0.2330264300107956,0.8330000042915344,0.4769815504550934
58,0.8995000123977661,0.24603424966335297,0.8330000042915344,0.3985462188720703
59,0.9089999794960022,0.233286052942276,0.8619999885559082,0.4406609535217285
